Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
"Crazy, Stupid, Love","Crazy,-Stupid,-Love_Screenplay.txt","$50,000,000","$84,351,197","$146,493,974"
Moneyball,Moneyball_Screenplay.txt,"$50,000,000","$75,605,492","$111,300,835"
V for Vendetta,V-for-Vendetta_Screenplay.txt,"$50,000,000","$70,511,035","$130,214,162"
I am Number Four,I-Am-Number-Four_Screenplay.txt,"$50,000,000","$55,100,437","$146,195,159"
Syriana,Syriana_Screenplay.txt,"$50,000,000","$50,824,620","$92,690,959"
Absolute Power,Absolute-Power_Screenplay.txt,"$50,000,000","$50,068,310","$50,068,310"
G.I. Jane,G.I.-Jane_Screenplay.txt,"$50,000,000","$48,169,156","$48,169,156"
Ninja Assassin,Ninja-Assassin_Screenplay.txt,"$50,000,000","$38,122,883","$62,209,892"
Assassins,Assassins_Screenplay.txt,"$50,000,000","$30,306,268","$83,306,268"
Defiance,Defiance_Screenplay.txt,"$50,000,000","$28,644,813","$52,987,754"
Basic,Basic_Screenplay.txt,"$50,000,000","$26,599,248","$42,598,498"
Escape from L.A.,Escape-From-L.A._Screenplay.txt,"$50,000,000","$25,426,861","$25,426,861"
Gamer,Gamer_Screenplay.txt,"$50,000,000","$20,534,907","$42,002,029"
Eastern Promises,Eastern-Promises_Screenplay.txt,"$50,000,000","$17,181,265","$56,077,088"
Fair Game,Fair-Game_Screenplay.txt,"$50,000,000","$11,497,497","$26,097,497"
Drive Angry,Drive-Angry_Screenplay.txt,"$50,000,000","$10,721,033","$41,042,583"
Death to Smoochy,Death-to-Smoochy_Screenplay.txt,"$50,000,000","$8,355,815","$8,374,062"
Anna Karenina,Anna-Karenina_Screenplay.txt,"$49,000,000","$12,816,367","$71,004,627"
Indiana Jones and the Last Crusade,Indiana-Jones-and-the-Last-Crusade_Screenplay.txt,"$48,000,000","$197,171,806","$474,171,806"
Traffic,Traffic_Screenplay.txt,"$48,000,000","$124,107,476","$208,300,000"
Panic Room,Panic-Room_Screenplay.txt,"$48,000,000","$95,308,367","$196,308,367"
Three Kings,Three-Kings_Screenplay.txt,"$48,000,000","$60,652,036","$107,752,036"
Out of Sight,Out-of-Sight_Screenplay.txt,"$48,000,000","$37,562,568","$77,562,568"
Solaris,Solaris_Screenplay.txt,"$47,000,000","$14,970,038","$14,970,038"
My Best Friend's Wedding,My-Best-Friend's-Wedding_Screenplay.txt,"$46,000,000","$126,813,153","$298,923,419"
Star Trek: First Contact,Star-Trek-First-Contact_Screenplay.txt,"$46,000,000","$92,027,888","$150,000,000"
Insomnia,Insomnia_Screenplay.txt,"$46,000,000","$67,263,182","$113,622,499"
Liar Liar,Liar-Liar_Screenplay.txt,"$45,000,000","$181,410,615","$302,710,615"
Training Day,Training-Day_Screenplay.txt,"$45,000,000","$76,261,036","$104,505,352"
Scary Movie 2,Scary-Movie-2_Screenplay.txt,"$45,000,000","$71,277,420","$141,189,101"
Blade,Blade_Screenplay.txt,"$45,000,000","$70,141,876","$131,237,688"
Tin Cup,Tin-Cup_Screenplay.txt,"$45,000,000","$53,854,588","$75,854,588"
Cellular,Cellular_Screenplay.txt,"$45,000,000","$32,003,620","$61,453,420"
Revolutionary Road,Revolutionary-Road_Screenplay.txt,"$45,000,000","$22,951,340","$79,604,820"
Frankenstein,Frankenstein_Screenplay.txt,"$45,000,000","$22,006,296","$112,006,296"
Deep Rising,Deep-Rising_Screenplay.txt,"$45,000,000","$11,203,026","$11,203,026"
Argo,Argo_Screenplay.txt,"$44,500,000","$136,025,503","$227,140,757"
Notting Hill,Notting-Hill_Screenplay.txt,"$42,000,000","$116,089,678","$363,718,196"
Red Riding Hood,Red-Riding-Hood_Screenplay.txt,"$42,000,000","$37,662,162","$91,678,442"
15 Minutes,15-Minutes_Screenplay.txt,"$42,000,000","$24,375,436","$56,331,864"
Lord of War,Lord-of-War_Screenplay.txt,"$42,000,000","$24,149,632","$60,437,727"
American Hustle,American-Hustle_Screenplay.txt,"$40,000,000","$150,098,456","$257,858,943"
He's Just Not That Into You,He's-Just-Not-That-Into-You_Screenplay.txt,"$40,000,000","$93,953,653","$181,053,657"
Scream 3,Scream-3_Screenplay.txt,"$40,000,000","$89,138,076","$161,838,076"
JFK,JFK_Screenplay.txt,"$40,000,000","$70,405,498","$205,400,000"
17 Again,17-Again_Screenplay.txt,"$40,000,000","$64,167,069","$139,474,906"
Gothika,Gothika_Screenplay.txt,"$40,000,000","$59,588,068","$141,484,812"
Scream 4,Scream-4_Screenplay.txt,"$40,000,000","$38,180,928","$95,989,590"
